frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.06067265570163727,1.9347329139709473,0.15048906207084656,0.0,212,588
0,1,-0.06205157935619354,1.9845114946365356,0.025914832949638367,0.0,239,596
0,2,-0.12686100602149963,2.0253853797912598,0.04136791452765465,0.0,223,599
0,3,0.38885655999183655,2.0103862285614014,0.3289462625980377,0.0,230,598
0,4,0.5956951379776001,2.0222854614257812,0.2038339078426361,0.0,190,614
0,5,0.7432399988174438,2.022002696990967,0.18440169095993042,0.0,157,642
0,6,0.0,3.077378034591675,0.2652660012245178,0.0,114,685
0,7,0.0,3.13211989402771,0.07058947533369064,0.0,125,691
0,8,-0.06067265570163727,1.9290310144424438,0.21137040853500366,0.8400537371635437,213,547
0,9,-0.06205157935619354,1.9826686382293701,0.08934769034385681,0.8400537371635437,239,554
0,10,-0.12686100602149963,2.022761583328247,0.11105206608772278,0.8400537371635437,223,557
0,11,0.38885655999183655,1.999216079711914,0.3911442160606384,0.8400537371635437,231,555
0,12,0.5956951379776001,2.013993263244629,0.27389293909072876,0.8400537371635437,191,571
0,13,0.7432399988174438,2.0138702392578125,0.2585071921348572,0.8400537371635437,158,600
0,14,0.0,3.0678465366363525,0.35908129811286926,0.8400537371635437,112,643
0,15,0.0,3.1284260749816895,0.1676550656557083,0.8400537371635437,125,650
0,16,-0.06067265570163727,1.938549280166626,0.08868372440338135,-0.8400537371635437,212,546
0,17,-0.06205157935619354,1.9843178987503052,-0.037949927151203156,-0.8400537371635437,238,555
0,18,-0.12686100602149963,2.025594711303711,-0.029380708932876587,-0.8400537371635437,223,558
0,19,0.38885655999183655,2.0197272300720215,0.2656324505805969,-0.8400537371635437,228,557
0,20,0.5956951379776001,2.028127431869507,0.1337350755929947,-0.8400537371635437,189,573
0,21,0.7432399988174438,2.02738881111145,0.11042474210262299,-0.8400537371635437,157,601
0,22,0.0,3.084212064743042,0.16810302436351776,-0.8400537371635437,114,642
0,23,0.0,3.132779121398926,-0.029220540076494217,-0.8400537371635437,125,649
1,0,-0.06067265570163727,1.9347487688064575,0.15028426051139832,0.0,212,588
1,1,-0.06205157935619354,1.9844988584518433,0.026869673281908035,0.0,240,596
1,2,-0.12686100602149963,2.0253963470458984,0.04082686826586723,0.0,224,599
1,3,0.38885655999183655,2.0107357501983643,0.32680246233940125,0.0,230,598
1,4,0.5956951379776001,2.0226268768310547,0.2004169225692749,0.0,189,614
1,5,0.7432399988174438,2.022463083267212,0.1792812943458557,0.0,157,642
1,6,0.0,3.0770263671875,0.26931509375572205,0.0,113,685
1,7,0.0,3.132091760635376,0.07182109355926514,0.0,125,692
1,8,-0.06067265570163727,1.9291067123413086,0.21067869663238525,0.8400537371635437,214,546
1,9,-0.06205157935619354,1.9826465845108032,0.08983510732650757,0.8400537371635437,241,552
1,10,-0.12686100602149963,2.0227792263031006,0.11072811484336853,0.8400537371635437,225,555
1,11,0.38885655999183655,1.999562382698059,0.38937002420425415,0.8400537371635437,231,555
1,12,0.5956951379776001,2.014281749725342,0.27176380157470703,0.8400537371635437,189,573
1,13,0.7432399988174438,2.014139175415039,0.2564017176628113,0.8400537371635437,156,601
1,14,0.0,3.066800355911255,0.36790990829467773,0.8400537371635437,112,643
1,15,0.0,3.1282360553741455,0.17116419970989227,0.8400537371635437,125,650
1,16,-0.06067265570163727,1.938537359237671,0.08894407004117966,-0.8400537371635437,211,547
1,17,-0.06205157935619354,1.9843295812606812,-0.03733610734343529,-0.8400537371635437,239,555
1,18,-0.06343050301074982,2.028783082962036,0.002483061049133539,-0.8400537371635437,224,558
1,19,0.38885655999183655,2.0198566913604736,0.26464688777923584,-0.8400537371635437,228,556
1,20,0.5956951379776001,2.028294086456299,0.13118496537208557,-0.8400537371635437,190,572
1,21,0.7432399988174438,2.0276901721954346,0.10474815964698792,-0.8400537371635437,157,600
1,22,0.0,3.083969831466675,0.1724879890680313,-0.8400537371635437,114,643
1,23,0.0,3.1327896118164062,-0.028064729645848274,-0.8400537371635437,124,650
2,0,-0.06067265570163727,1.9345842599868774,0.15238657593727112,0.0,214,587
2,1,-0.06205157935619354,1.9844708442687988,0.02886827662587166,0.0,240,596
2,2,-0.12686100602149963,2.025388240814209,0.041225604712963104,0.0,222,600
2,3,0.38885655999183655,2.0106163024902344,0.3275366723537445,0.0,227,600
2,4,0.5956951379776001,2.022625684738159,0.2004302740097046,0.0,187,616
2,5,0.7432399988174438,2.02266788482666,0.17695537209510803,0.0,154,645
2,6,0.0,3.0764243602752686,0.2761060297489166,0.0,113,686
2,7,0.0,3.131967782974243,0.07704076170921326,0.0,125,692
2,8,-0.06067265570163727,1.9286410808563232,0.21489906311035156,0.8400537371635437,214,546
2,9,-0.06205157935619354,1.9824779033660889,0.09348270297050476,0.8400537371635437,240,553
2,10,-0.12686100602149963,2.0227043628692627,0.11208730936050415,0.8400537371635437,223,558
2,11,0.38885655999183655,1.9991387128829956,0.3915387988090515,0.8400537371635437,229,558
2,12,0.5956951379776001,2.014395236968994,0.27092060446739197,0.8400537371635437,188,574
2,13,0.7432399988174438,2.0148229598999023,0.2509724795818329,0.8400537371635437,154,603
2,14,0.0,3.1280479431152344,0.17456787824630737,0.8400537371635437,124,651
2,15,0.3171525299549103,5.04451847076416,0.4496614634990692,0.8400537371635437,113,558
2,16,-0.06067265570163727,1.9384346008300781,0.09115523099899292,-0.8400537371635437,211,547
2,17,-0.06205157935619354,1.9843848943710327,-0.03426678478717804,-0.8400537371635437,239,555
2,18,-0.06343050301074982,2.028783082962036,0.002511649625375867,-0.8400537371635437,223,558
